"idMonitoramento","uso(%)","dtHora","nomeComponente"
"100","26.9","9/23/2023 15:49","CPU"
"103","11.5","9/23/2023 15:49","CPU"
"106","10.2","9/23/2023 15:49","CPU"
"109","15.6","9/23/2023 15:49","CPU"
"112","18.8","9/23/2023 15:50","CPU"
"115","11.3","9/23/2023 15:50","CPU"
"118","10.9","9/23/2023 15:50","CPU"
"121","19.1","9/23/2023 15:50","CPU"
"124","17.9","9/23/2023 15:50","CPU"
"127","14.9","9/23/2023 15:50","CPU"
"130","14.5","9/23/2023 15:50","CPU"
"133","14.3","9/23/2023 15:50","CPU"
"136","12.3","9/23/2023 15:50","CPU"
"139","20","9/23/2023 15:50","CPU"
"142","16.5","9/23/2023 15:50","CPU"
"145","15.6","9/23/2023 15:50","CPU"
"148","15.2","9/23/2023 15:50","CPU"
"151","12.8","9/23/2023 15:50","CPU"
"154","16.2","9/23/2023 15:50","CPU"
"157","14.8","9/23/2023 15:50","CPU"
"160","17.6","9/23/2023 15:50","CPU"
"163","18.4","9/23/2023 15:50","CPU"
"166","16","9/23/2023 15:51","CPU"
"169","17.6","9/23/2023 15:51","CPU"
"172","17.5","9/23/2023 15:51","CPU"
"175","17.4","9/23/2023 15:51","CPU"
"178","13.6","9/23/2023 15:51","CPU"
"181","15.5","9/23/2023 15:51","CPU"
"184","18.2","9/23/2023 15:51","CPU"
"187","18.6","9/23/2023 15:51","CPU"
"190","23.5","9/23/2023 15:51","CPU"
"193","23.6","9/23/2023 15:51","CPU"
"196","17.4","9/23/2023 15:51","CPU"
"199","28.1","9/23/2023 15:51","CPU"
"202","34","9/23/2023 15:51","CPU"
"205","22.9","9/23/2023 15:51","CPU"
"208","24.6","9/23/2023 15:51","CPU"
"211","16.6","9/23/2023 15:51","CPU"
"214","21.4","9/23/2023 15:51","CPU"
"217","16.1","9/23/2023 15:51","CPU"
"220","9.1","9/23/2023 15:52","CPU"
"223","9.1","9/23/2023 15:52","CPU"
"226","12","9/23/2023 15:52","CPU"
"229","8.9","9/23/2023 15:52","CPU"
"232","6.5","9/23/2023 15:52","CPU"
"235","5.1","9/23/2023 15:52","CPU"
"238","7.7","9/23/2023 15:52","CPU"
"241","10.1","9/23/2023 15:52","CPU"
"244","7.6","9/23/2023 15:52","CPU"
"247","41.3","9/23/2023 15:52","CPU"
"250","45","9/23/2023 15:52","CPU"
"253","13.2","9/23/2023 15:52","CPU"
"256","18.5","9/23/2023 15:52","CPU"
"259","21","9/23/2023 15:52","CPU"
"262","39.1","9/23/2023 15:52","CPU"
"265","29.8","9/23/2023 15:52","CPU"
"268","23.6","9/23/2023 15:52","CPU"
"271","24","9/23/2023 15:52","CPU"
"274","22.5","9/23/2023 15:52","CPU"
"277","27.9","9/23/2023 15:53","CPU"
"280","25.1","9/23/2023 15:53","CPU"
"283","21.8","9/23/2023 15:53","CPU"
"286","25.5","9/23/2023 15:53","CPU"
"289","13.1","9/23/2023 15:53","CPU"
"292","18.2","9/23/2023 15:53","CPU"
"295","14.9","9/23/2023 15:53","CPU"
"298","13.2","9/23/2023 15:53","CPU"
"301","27.6","9/23/2023 15:53","CPU"
"304","34.3","9/23/2023 15:53","CPU"
"307","29.4","9/23/2023 15:53","CPU"
"310","27.8","9/23/2023 15:53","CPU"
"313","25.8","9/23/2023 15:53","CPU"
"316","26.7","9/23/2023 15:53","CPU"
"319","26.3","9/23/2023 15:53","CPU"
"322","32.1","9/23/2023 15:53","CPU"
"325","28.6","9/23/2023 15:53","CPU"
"328","30","9/23/2023 15:53","CPU"
"331","28","9/23/2023 15:54","CPU"
"334","26.6","9/23/2023 15:54","CPU"
"337","24.3","9/23/2023 15:54","CPU"
"340","26.9","9/23/2023 15:54","CPU"
"343","24.7","9/23/2023 15:54","CPU"
"346","25.3","9/23/2023 15:54","CPU"
"349","24.2","9/23/2023 15:54","CPU"
"352","23.7","9/23/2023 15:54","CPU"
"355","23.5","9/23/2023 15:54","CPU"
"358","23.3","9/23/2023 15:54","CPU"
"361","24.2","9/23/2023 15:54","CPU"
"364","24.7","9/23/2023 15:54","CPU"
"367","22.3","9/23/2023 15:54","CPU"
"370","23.5","9/23/2023 15:54","CPU"
"373","24.3","9/23/2023 15:54","CPU"
"376","22.9","9/23/2023 15:54","CPU"
"379","24.6","9/23/2023 15:54","CPU"
"382","22.4","9/23/2023 15:54","CPU"
"385","26","9/23/2023 15:54","CPU"
"388","26.5","9/23/2023 15:54","CPU"
"391","22.3","9/23/2023 15:55","CPU"
"394","28.2","9/23/2023 15:55","CPU"
"397","28.7","9/23/2023 15:55","CPU"
"400","38.6","9/23/2023 15:55","CPU"
"403","27.9","9/23/2023 15:55","CPU"
"406","8.9","9/23/2023 15:55","CPU"
"409","14.8","9/23/2023 15:55","CPU"
"412","8.9","9/23/2023 15:55","CPU"
"415","8.7","9/23/2023 15:55","CPU"
"418","7.1","9/23/2023 15:55","CPU"
"421","10.5","9/23/2023 15:55","CPU"
"424","24.2","9/23/2023 15:55","CPU"
"427","8.8","9/23/2023 15:55","CPU"
"430","27.9","9/23/2023 15:55","CPU"
"433","19.4","9/23/2023 15:55","CPU"
"436","11.3","9/23/2023 15:55","CPU"
"439","7.1","9/23/2023 15:55","CPU"
"442","7.3","9/23/2023 15:55","CPU"
"445","6.5","9/23/2023 15:56","CPU"
"448","9.4","9/23/2023 15:56","CPU"
"451","11.2","9/23/2023 15:56","CPU"
"454","9.5","9/23/2023 15:56","CPU"
"457","18.8","9/23/2023 15:56","CPU"
"460","17.2","9/23/2023 15:56","CPU"
"463","15.3","9/23/2023 15:56","CPU"
"466","9","9/23/2023 15:56","CPU"
"469","7.6","9/23/2023 15:56","CPU"
"472","8.4","9/23/2023 15:56","CPU"
"475","10.6","9/23/2023 15:56","CPU"
"478","10.1","9/23/2023 15:56","CPU"
"481","11.6","9/23/2023 15:56","CPU"
"484","12","9/23/2023 15:56","CPU"
"487","8","9/23/2023 15:56","CPU"
"490","15.6","9/23/2023 15:56","CPU"
"493","10.5","9/23/2023 15:56","CPU"
"496","10.2","9/23/2023 15:56","CPU"
"499","13.2","9/23/2023 15:57","CPU"
"502","9.8","9/23/2023 15:57","CPU"
"505","10.9","9/23/2023 15:57","CPU"
"508","15.1","9/23/2023 15:57","CPU"
"511","9","9/23/2023 15:57","CPU"
"514","9.2","9/23/2023 15:57","CPU"
"517","8.8","9/23/2023 15:57","CPU"
"520","10","9/23/2023 15:57","CPU"
"523","9.4","9/23/2023 15:57","CPU"
"526","13.5","9/23/2023 15:57","CPU"
"529","21.4","9/23/2023 15:57","CPU"
"532","7.8","9/23/2023 15:57","CPU"
"535","8.2","9/23/2023 15:57","CPU"
"538","7.4","9/23/2023 15:57","CPU"
"541","13.2","9/23/2023 15:57","CPU"
"544","21.8","9/23/2023 15:57","CPU"
"547","19.6","9/23/2023 15:57","CPU"
"550","21.1","9/23/2023 15:57","CPU"
"553","12","9/23/2023 15:57","CPU"
